id,family,population,block,sw,bb_cum97,bb_cum98,bb_cum99,ht99mm,ht98mm,ht97mm,growth_97,ws_sum,ws_wsum
101_1,801,BAY,1,63,8,6,NA,NA,NA,NA,580,5,1.036040241
101_2,801,BAY,1,63,6,5,NA,NA,NA,NA,560,6,1.910985695
101_3,801,BAY,1,63,7,2,NA,NA,NA,NA,500,2,0.461853431
101_4,801,BAY,1,63,8,10,NA,NA,NA,NA,600,4,1.230926715
101_5,801,BAY,2,63,7,7,NA,NA,NA,NA,520,5,1.770461429
101_6,801,BAY,4,63,6,NA,8,125,120,90,360,NA,NA
101_7,801,BAY,2,63,6,6,NA,NA,NA,NA,520,5,1.770461429
101_8,801,BAY,2,63,9,9,NA,NA,NA,NA,260,1,0.965347903
101_9,801,BAY,3,63,4,NA,6,100,NA,NA,120,NA,NA
101_10,801,BAY,2,63,4,5,NA,NA,NA,NA,330,2,1.196274618
101_11,801,BAY,2,63,6,9,NA,NA,NA,NA,450,7,1.750751319
101_12,801,BAY,3,63,7,5,3,NA,170,100,470,NA,NA
101_13,801,BAY,4,63,8,8,6,110,90,NA,220,NA,NA
101_14,801,BAY,3,63,6,NA,5,115,NA,NA,300,NA,NA
101_15,801,BAY,3,63,9,6,7,140,NA,NA,NA,NA,NA
101_16,801,BAY,4,63,6,NA,6,225,135,NA,600,NA,NA
101_17,801,BAY,4,63,6,4,7,130,110,NA,260,NA,NA
101_18,810,BAY,2,51.5,6,7,NA,NA,NA,NA,760,7,1.383540725
101_19,810,BAY,2,51.5,9,NA,NA,NA,NA,NA,520,6,1.910985695
102_1,810,BAY,2,51.5,9,NA,NA,NA,NA,NA,740,10,1.805113526
102_2,810,BAY,4,51.5,8,NA,6,130,115,NA,480,NA,NA
102_3,810,BAY,1,51.5,4,NA,NA,NA,NA,NA,NA,NA,NA
102_4,810,BAY,4,51.5,6,NA,10,100,60,NA,50,NA,NA
102_5,810,BAY,4,51.5,4,6,4,320,130,110,500,NA,NA
102_6,810,BAY,4,51.5,7,NA,8,135,125,NA,480,NA,NA
102_7,810,BAY,4,51.5,7,NA,6,205,110,NA,460,NA,NA
102_8,810,BAY,3,51.5,8,NA,8,195,135,NA,580,NA,NA
102_9,810,BAY,3,51.5,5,NA,6,215,NA,150,600,NA,NA
102_10,810,BAY,2,51.5,9,9,NA,NA,NA,NA,650,2,0.829064024
102_11,810,BAY,3,51.5,8,8,9,200,NA,NA,450,NA,NA
102_12,810,BAY,1,51.5,6,NA,NA,NA,NA,NA,460,0,0
102_13,810,BAY,1,51.5,9,9,NA,NA,NA,NA,600,1,0.598137309
102_14,810,BAY,3,51.5,6,NA,8,155,135,NA,520,NA,NA
102_15,810,BAY,3,51.5,9,NA,4,130,NA,NA,100,NA,NA
102_16,810,BAY,2,51.5,6,9,NA,NA,NA,NA,560,6,1.176564508
102_17,810,BAY,1,51.5,7,NA,NA,NA,NA,NA,450,0,0
104_1,810,BAY,1,51.5,7,NA,NA,NA,NA,NA,690,2,1.196274618
104_2,811,BAY,4,64.5,6,6,5,350,130,110,620,NA,NA
104_3,811,BAY,4,64.5,7,4,7,145,NA,NA,250,NA,NA
104_4,811,BAY,1,64.5,7,9,NA,NA,NA,NA,260,0,0.734421187
104_5,811,BAY,1,64.5,9,NA,NA,NA,NA,NA,740,4,0.863716122
104_6,811,BAY,4,64.5,7,4,8,165,65,NA,100,NA,NA
104_7,811,BAY,3,64.5,8,NA,5,205,NA,90,400,NA,NA
104_8,811,BAY,2,64.5,10,8,NA,NA,NA,NA,560,3,0.668829648
104_9,811,BAY,2,64.5,7,NA,NA,NA,NA,NA,840,7,2.117961912
104_10,811,BAY,2,64.5,8,7,NA,NA,NA,NA,460,1,0.230926715
104_11,811,BAY,2,64.5,7,5,NA,NA,NA,NA,650,6,1.910985695
104_12,811,BAY,3,64.5,5,4,3,170,NA,100,380,NA,NA
