Species,Sex,Forewing_area,Hindwing_area,Tail_length
Papilio machaon britannicus,female,6.952,5.732,0.916
Papilio machaon britannicus,female,6.141,4.914,1.081
Papilio machaon britannicus,female,4.37,3.628,0.837
Papilio machaon britannicus,female,5.667,4.822,1.093
Papilio machaon britannicus,female,5.148,3.966,0.744
Papilio machaon britannicus,female,5.627,4.992,1.005
Papilio machaon britannicus,female,4.917,4.116,0.912
Papilio machaon britannicus,female,6.124,5.047,1.168
Papilio machaon britannicus,female,5.714,4.63,0.909
Papilio machaon britannicus,female,5.774,4.444,0.92
Papilio machaon britannicus,female,5.75,4.898,0.96
Papilio machaon britannicus,female,5.284,4.63,0.733
Papilio machaon britannicus,female,5.997,5.005,1.016
Papilio machaon britannicus,female,6.974,5.653,1.037
Papilio machaon britannicus,female,5.106,4.311,0.964
Papilio machaon britannicus,female,5.435,4.322,0.961
Papilio machaon britannicus,female,6.195,4.982,1.162
Papilio machaon britannicus,female,5.525,4.425,0.943
Papilio machaon britannicus,female,6.005,4.864,0.882
Papilio machaon britannicus,female,6.07,5.072,0.915
Papilio machaon britannicus,female,5.46,4.677,0.895
Papilio machaon britannicus,female,5.698,4.75,1.089
Papilio machaon britannicus,female,4.62,3.773,0.757
Papilio machaon britannicus,female,5.619,4.729,0.979
Papilio machaon britannicus,female,6.06,4.935,0.893
Papilio machaon britannicus,female,6.72,5.545,0.993
Papilio machaon britannicus,female,5.726,4.621,0.929
Papilio machaon britannicus,female,6.347,5.286,0.952
Papilio machaon britannicus,female,5.766,4.921,1.046
Papilio machaon britannicus,female,5.72,4.633,1.002
Papilio machaon britannicus,female,6.263,5.224,1.026
Papilio machaon britannicus,female,4.857,4.04,0.802
Papilio machaon britannicus,female,6.654,5.506,1.012
Papilio machaon britannicus,female,5.638,4.932,0.87
Papilio machaon britannicus,female,6.022,4.918,0.947
Papilio machaon britannicus,female,4.768,3.813,1.029
Papilio machaon britannicus,female,5.955,4.923,1.166
Papilio machaon britannicus,female,5.614,4.788,1.156
Papilio machaon britannicus,female,4.768,3.757,0.8
Papilio machaon britannicus,female,6.378,5.541,1.2
Papilio machaon britannicus,female,6.14,4.803,1.177
Papilio machaon britannicus,female,5.411,4.582,1.023
Papilio machaon britannicus,female,5.177,4.137,1.071
Papilio machaon britannicus,female,5.099,4.548,0.959
Papilio machaon britannicus,female,3.552,3.14,0.75
Papilio machaon britannicus,female,5.484,4.791,1.121
Papilio machaon britannicus,female,4.002,3.511,0.968
Papilio machaon britannicus,female,4.93,4.193,0.934
Papilio machaon britannicus,female,5.555,4.504,1.08
Papilio machaon britannicus,female,5.688,4.567,0.895
Papilio machaon britannicus,female,5.616,4.799,1.083
Papilio machaon britannicus,female,5.685,4.855,0.954
Papilio machaon britannicus,female,5.458,4.818,0.961
Papilio machaon britannicus,female,6.141,5.118,1.14
Papilio machaon britannicus,female,5.646,4.453,0.913
Papilio machaon britannicus,male,4.758,4.17,0.86
Papilio machaon britannicus,male,4.555,3.875,1.016
Papilio machaon britannicus,male,5.213,4.387,0.846
Papilio machaon britannicus,male,4.929,4.032,0.913
Papilio machaon britannicus,male,4.828,4.194,0.943
Papilio machaon britannicus,male,4.951,4.228,1.031
Papilio machaon britannicus,male,3.974,3.484,0.857
Papilio machaon britannicus,male,4.486,3.739,0.93
Papilio machaon britannicus,male,5.011,4.312,1.025
Papilio machaon britannicus,male,4.809,4.252,0.93
Papilio machaon britannicus,male,5.098,4.162,0.731
Papilio machaon britannicus,male,4.851,3.949,0.857
Papilio machaon britannicus,male,5.434,4.665,1.02
Papilio machaon britannicus,male,4.459,3.888,0.912
Papilio machaon britannicus,male,4.796,4.199,0.857
Papilio machaon britannicus,male,4.989,4.364,0.87
Papilio machaon britannicus,male,4.209,3.258,0.888
Papilio machaon britannicus,male,5.426,4.579,0.904
Papilio machaon britannicus,male,5.196,4.327,0.869
Papilio machaon britannicus,male,5.052,4.189,0.912
Papilio machaon britannicus,male,5.152,4.314,0.942
Papilio machaon britannicus,male,4.872,3.854,0.891
Papilio machaon britannicus,male,5.043,4.152,0.999
Papilio machaon britannicus,male,4.669,4.058,0.839
Papilio machaon britannicus,male,5.263,4.558,0.923
Papilio machaon britannicus,male,4.524,3.803,0.881
Papilio machaon britannicus,male,4.312,3.701,0.851
Papilio machaon britannicus,male,5.385,4.584,0.846
Papilio machaon britannicus,male,4.6,3.879,0.743
Papilio machaon britannicus,male,4.28,3.733,0.944
Papilio machaon britannicus,male,4.593,3.983,1.005
Papilio machaon britannicus,male,4.428,3.757,0.82
